Model,makespan,throughput,avg_abs_start_dev,avg_duration_diff,levenshtein_seq,leven_a3_0_seq,toolchange_perc,seed,instance,priority_rule
AverageOperationModel,-1.0,-5.6,14.6,4.65,7.667,23,52.11,100,2000,fcfs
LogNormalDistributionModel,8.0,5.5,22.0,4.65,9.333,28,52.11,100,2000,fcfs
NormalDistributionModel,54.0,5.2,42.9,4.65,8.333,25,52.11,100,2000,fcfs
HistoDistributionModel,0.0,-4.8,30.0,4.65,10.667,32,51.443,100,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20221.0,11.8,2.5,4.6,1300.0,1950,51.817,97,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.6,0.0,0,51.66,97,2000,fcfs
CausalContinousSmallLogCopyModel,57.0,0.5,19.9,4.6,6.0,18,51.66,97,2000,fcfs
AverageOperationModel,-1.0,-3.1,6.8,4.6,4.0,12,47.66,97,2000,fcfs
LogNormalDistributionModel,48.0,-0.3,27.5,4.6,8.0,24,50.327,97,2000,fcfs
NormalDistributionModel,16.0,5.4,20.0,4.6,6.0,18,50.327,97,2000,fcfs
HistoDistributionModel,22.0,8.4,8.9,4.6,5.667,17,48.993,97,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19849.0,5.3,3.9,4.67,1300.0,1950,51.787,102,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.67,0.0,0,49.62,102,2000,fcfs
CausalContinousSmallLogCopyModel,-17.0,5.6,11.7,4.67,2.0,6,47.62,102,2000,fcfs
AverageOperationModel,-3.0,-4.5,20.3,4.67,4.0,12,46.953,102,2000,fcfs
LogNormalDistributionModel,-48.0,-3.5,21.4,4.67,6.667,20,49.62,102,2000,fcfs
NormalDistributionModel,3.0,-0.1,43.2,4.67,5.333,16,48.287,102,2000,fcfs
HistoDistributionModel,39.0,3.0,29.9,4.67,5.333,16,49.62,102,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19709.0,27.7,0.4,4.79,1300.0,1950,52.633,119,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.79,0.0,0,55.333,119,2000,fcfs
CausalContinousSmallLogCopyModel,3.0,1.1,9.4,4.79,3.667,11,55.333,119,2000,fcfs
AverageOperationModel,-8.0,-3.2,10.0,4.79,6.667,20,52.667,119,2000,fcfs
LogNormalDistributionModel,35.0,3.3,24.0,4.79,5.667,17,51.333,119,2000,fcfs
NormalDistributionModel,10.0,-1.6,10.5,4.79,6.333,19,50.0,119,2000,fcfs
HistoDistributionModel,-29.0,11.4,19.7,4.79,9.333,28,47.333,119,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19554.0,11.1,0.4,4.42,1300.0,1950,52.433,114,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.42,0.0,0,51.44,114,2000,fcfs
CausalContinousSmallLogCopyModel,-7.0,17.3,12.8,4.42,7.0,21,47.44,114,2000,fcfs
AverageOperationModel,-1.0,-3.1,8.5,4.42,7.333,22,50.107,114,2000,fcfs
LogNormalDistributionModel,-25.0,2.9,17.5,4.42,10.0,30,46.107,114,2000,fcfs
NormalDistributionModel,-40.0,-1.8,26.2,4.42,9.667,29,48.773,114,2000,fcfs
HistoDistributionModel,38.0,5.8,30.7,4.42,7.667,23,52.773,114,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19766.0,10.8,1.6,4.8,1300.0,1950,51.8,118,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.8,0.0,0,44.2,118,2000,fcfs
CausalContinousSmallLogCopyModel,-3.0,-1.1,5.4,4.8,6.333,19,44.2,118,2000,fcfs
AverageOperationModel,-4.0,-3.8,11.0,4.8,5.667,17,42.867,118,2000,fcfs
LogNormalDistributionModel,-24.0,9.4,24.1,4.8,8.0,24,41.533,118,2000,fcfs
NormalDistributionModel,-18.0,6.8,22.4,4.8,9.0,27,41.533,118,2000,fcfs
HistoDistributionModel,44.0,3.1,9.5,4.8,6.0,18,38.867,118,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20491.0,9.9,0.8,4.1,1300.0,1950,50.763,109,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.1,0.0,0,49.487,109,2000,fcfs
CausalContinousSmallLogCopyModel,24.0,-3.1,9.6,4.1,1.333,4,50.82,109,2000,fcfs
AverageOperationModel,10.0,-4.0,6.3,4.1,6.0,18,46.82,109,2000,fcfs
LogNormalDistributionModel,23.0,1.1,19.7,4.1,10.333,31,46.82,109,2000,fcfs
NormalDistributionModel,29.0,3.8,32.8,4.1,10.0,30,52.153,109,2000,fcfs
HistoDistributionModel,26.0,-0.4,20.2,4.1,5.333,16,50.82,109,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19943.0,20.2,0.3,4.6,1300.0,1950,52.633,111,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.6,0.0,0,54.717,111,2000,fcfs
CausalContinousSmallLogCopyModel,-14.0,-0.3,10.7,4.6,9.667,29,53.383,111,2000,fcfs
AverageOperationModel,-7.0,-2.6,14.7,4.6,7.0,21,49.383,111,2000,fcfs
LogNormalDistributionModel,-11.0,-1.6,29.2,4.6,10.333,31,48.05,111,2000,fcfs
NormalDistributionModel,18.0,1.4,25.3,4.6,9.333,28,48.05,111,2000,fcfs
HistoDistributionModel,11.0,-0.2,20.9,4.6,8.667,26,48.05,111,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19483.0,9.4,0.2,4.46,1300.0,1950,54.173,120,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.46,0.0,0,58.0,120,2000,fcfs
CausalContinousSmallLogCopyModel,-9.0,-1.0,7.6,4.46,4.333,13,56.0,120,2000,fcfs
AverageOperationModel,5.0,-4.8,6.7,4.46,5.667,17,50.667,120,2000,fcfs
LogNormalDistributionModel,11.0,-4.2,13.7,4.46,10.333,31,54.667,120,2000,fcfs
NormalDistributionModel,2.0,-1.4,15.7,4.46,10.0,30,50.667,120,2000,fcfs
HistoDistributionModel,12.0,2.1,10.5,4.46,7.333,22,48.0,120,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20016.0,5.7,0.2,4.48,1300.0,1950,51.86,113,2000,fcfs
